Gene	Field	Nucleus ID	Mean Nascent RNA Signal	Mean PCNA Signal	Log2 Ratio
APEX1	field0	1	0.3034697435046069	0.2769505924435502	0.13192405961378062
APEX1	field0	2	0.31628897927561495	0.23449338003328613	0.43169609299804257
APEX1	field0	3	0.26418885187943464	0.12392823293438252	1.0920646945815713
APEX1	field0	4	0.2819764981975934	0.2087454608991598	0.4338300968035157
APEX1	field0	5	0.27435824673774484	0.17725127682546615	0.630264921472417
APEX1	field0	6	0.22785755789823195	0.11042726949934903	1.0450357417556206
APEX1	field0	7	0.3013399538675541	0.19193104756485038	0.6508038619705062
APEX1	field0	8	0.3044101281281084	0.21654598021272647	0.4913429684033918
APEX1	field0	9	0.2479191349034463	0.16658537081072292	0.5736079141469094
APEX1	field0	10	0.30640766194473945	0.17829582861151583	0.7811794231124608
APEX1	field0	11	0.2752294613089026	0.18562073628393885	0.5682770207719233
APEX1	field0	12	0.3084071513556032	0.1611254830570726	0.9366515350840203
APEX1	field0	13	0.28981212473368195	0.28093375065206055	0.044887996995753215
APEX1	field0	14	0.381523315523684	0.20995712304540884	0.8616764910943812
APEX1	field0	15	0.25955586994416796	0.1939579506021637	0.4203012000091126
APEX1	field0	16	0.3598899997996354	0.2968674113647402	0.2777372848105709
APEX1	field0	17	0.3288564234525885	0.20193755123332588	0.7035486387563361
APEX1	field0	18	0.26651314215401445	0.1388313541378993	0.9408732483543104
APEX1	field0	19	0.22424134505445067	0.1531122217174012	0.5504628569691603
APEX1	field0	20	0.35779862206358426	0.26381995677770326	0.4395941293405321
APEX1	field0	21	0.3656788688746853	0.2874655339444072	0.34718826886813897
APEX1	field0	22	0.2992399392701168	0.1915164824069867	0.6438341836279715
APEX1	field0	23	0.1922676130060843	0.13117086356522975	0.5516684690743293
APEX1	field0	24	0.17186447475999242	0.11011397786918166	0.6422737471604517
APEX1	field0	25	0.24573799787311024	0.1609974311276464	0.6100832864935779
APEX1	field0	26	0.2986151462328104	0.2001717092679534	0.5770492539596993
APEX1	field0	27	0.27279648961109215	0.23868112891910856	0.1927405739392954
APEX1	field0	28	0.25960656289183154	0.24086772094555636	0.10808578659497989
APEX1	field0	29	0.26155512122972896	0.15310855029164888	0.7725601662830711
APEX1	field0	30	0.2793716508489896	0.2425773778473309	0.20374061650472813
APEX1	field0	31	0.23324256116280886	0.16772942797748344	0.4756952390799737
APEX1	field0	32	0.2887437870737692	0.17851634185609258	0.6937337558593912
APEX1	field0	33	0.27232531958163864	0.14231220657276997	0.9362717121686112
APEX1	field0	34	0.27614116098378694	0.19654604124253883	0.49053864302417804
APEX1	field0	35	0.229690223707147	0.19295285602503912	0.2514410543326722
APEX1	field0	36	0.3830949747896009	0.22061941541723462	0.7961423418545921
APEX1	field0	37	0.2881250713906145	0.18704439361716355	0.6233144791503498
APEX1	field0	38	0.2782991459550722	0.1928868810346355	0.5288814577465832
APEX1	field0	39	0.25190995760432133	0.19103923955254157	0.39903915170449916
APEX1	field0	40	0.2030138247837479	0.08843416895502998	1.1989021679819432
APEX1	field0	41	0.27587489933433235	0.22400680888449606	0.3004716131338703
APEX1	field0	42	0.2850633265324846	0.20083071528586724	0.5053025144993961
APEX1	field0	43	0.2857338939547141	0.1835545204736732	0.6384635351947233
APEX1	field0	44	0.43060369873169174	0.23779072904862125	0.8566682432031231
APEX1	field0	45	0.28736285333424477	0.21891972751541933	0.3924716143581698
APEX1	field0	46	0.2504579286682715	0.17163723079216037	0.5452057534264892
APEX1	field0	47	0.2956165587222403	0.2301614565441429	0.36108082703258804
APEX1	field0	48	0.1763086487309817	0.0962213409909294	0.8736744362390653
APEX1	field0	49	0.24863170324829897	0.14551466505123933	0.7728457113473407
APEX1	field0	50	0.3806353250990196	0.1708374610558355	1.1557850957647733
APEX1	field0	51	0.2662018206469107	0.20097809076682313	0.40548220097713933
APEX1	field0	52	0.3931125314739492	0.18608242044861764	1.0790005863550771
APEX1	field0	53	0.2573880954565379	0.21220108173406912	0.2785133178526738
APEX1	field0	54	0.27511208013263033	0.19016238101391222	0.5327876171602844
APEX1	field0	55	0.25109463002191545	0.13033406035513162	0.946017020679973
APEX1	field0	56	0.1625798954096456	0.10860719874804381	0.5820291334932837
APEX1	field0	57	0.19675465084158086	0.11362528541009259	0.792113819969493
APEX1	field0	58	0.25064437789597577	0.12690769498281237	0.9818623250634437
APEX1	field1	1	0.45950027697600515	0.16909466489298425	1.442234589153242
APEX1	field1	2	0.309338211153323	0.10325869478226071	1.5829217867700671
APEX1	field1	3	0.3519431795400521	0.11809325500111548	1.575415961382822
APEX1	field1	4	0.38022562985814956	0.13872838855168235	1.4545927405695613
APEX1	field1	5	0.3220628841186425	0.13565426170468187	1.2474080361189037
APEX1	field1	6	0.35572578011341704	0.15964183838673082	1.155926735306145
APEX1	field1	7	0.3350985583995293	0.12812397686347268	1.3870449960592326
APEX1	field1	8	0.37809215595623363	0.13239581546904475	1.5138803942029324
APEX1	field1	9	0.37156260206050895	0.1719770476998139	1.111389267483807
APEX1	field1	10	0.3003715689799833	0.14364634742786003	1.0642269549793184
APEX1	field1	11	0.36544062733383126	0.15628174346661738	1.2254877771042993
APEX1	field1	12	0.367307570277302	0.1527669891486006	1.2656558001521432
APEX1	field1	13	0.36431910412492935	0.1407229558490063	1.372344957273381
APEX1	field1	14	0.2605249910104279	0.11290738517629273	1.2062819158418563
APEX1	field1	15	0.35225372168284785	0.14366386554621846	1.293917709612203
APEX1	field1	16	0.31678134916894457	0.14796209746034333	1.0982597408749961
APEX1	field1	17	0.3426657635282607	0.14243837069711604	1.2664642178779002
APEX1	field1	18	0.24740729761110702	0.10965607617092636	1.1739022995338182
APEX1	field1	19	0.38540093491549804	0.17215091164671	1.1626862504642996
APEX1	field1	20	0.3135175504107543	0.11369932588419984	1.4633225053560202
APEX1	field1	21	0.4197480850271239	0.2013265737949856	1.0599861321541773
APEX1	field1	22	0.20618059521543242	0.07994962690958736	1.366745352767989
APEX1	field1	23	0.3273055164406235	0.12934028573261366	1.3394662152797285
APEX1	field1	24	0.33088393933625226	0.12388484805686979	1.4173255198196009
APEX1	field1	25	0.32923232001697705	0.12423985987837757	1.4059778612073013
APEX1	field1	26	0.2722777818332239	0.10980331982417028	1.3101575878345488
APEX1	field1	27	0.3568500539374326	0.12250233426704013	1.5425087506779163
APEX1	field1	28	0.2817603055865033	0.10063369610139138	1.485354922154707
APEX1	field1	29	0.2391213449036286	0.10990236802685677	1.1215204445283222
APEX1	field1	30	0.27315148713206966	0.09048190704853369	1.5940000357644308
APEX1	field1	31	0.29429373691224064	0.10377092013275897	1.5038546275970957
APEX1	field1	32	0.26760372892817463	0.11156402859651322	1.2622262829863202
APEX1	field1	33	0.2244177930071705	0.09756843914036202	1.20170061089723
APEX1	field1	34	0.3509100086101957	0.14650263775234862	1.2601744563562143
APEX1	field1	35	0.33744677227048203	0.12405225247993934	1.4437120229835716
APEX1	field1	36	0.33906250000000004	0.1434855192076831	1.2406460873304412
APEX1	field1	37	0.38486128609896486	0.1858270025567479	1.05037839987169
APEX1	field1	38	0.35458776390815216	0.14324586977648202	1.3076492104663842
APEX1	field1	39	0.3733171521035599	0.2687074829931973	0.474365296740972
APEX1	field1	40	0.3580522909214785	0.15059708093763818	1.2494764918000427
APEX1	field1	41	0.2830069661565465	0.10423830549168821	1.4409520285126305
APEX1	field1	42	0.40361128754196524	0.18020666210409395	1.1633141744668867
APEX1	field1	43	0.3887278362733032	0.1533148470655868	1.3422630059372525
APEX1	field1	44	0.4235136384650948	0.15694563539701595	1.432143520967028
APEX1	field1	45	0.28204441468586094	0.104265844268742	1.4356557348971621
APEX1	field1	46	0.376739203213927	0.1841619406383243	1.032591225606619
APEX1	field1	47	0.24157863670594945	0.09307119074044713	1.376086309697675
PIM2	field0	1	0.24606801045649968	0.06699624303401217	1.8769050149532591
PIM2	field0	2	0.276729315522419	0.07409257511308333	1.9010746039430717
PIM2	field0	3	0.24306865004539424	0.09303979034218206	1.3854440818025646
PIM2	field0	4	0.2716729887782519	0.06607168472193636	2.039767095314449
PIM2	field0	5	0.33019951769951766	0.08753729976623684	1.9153682255586837
PIM2	field0	6	0.31203639536972866	0.11544386411076776	1.434522816973124
PIM2	field0	7	0.2968785111642254	0.06826420578896328	2.1206714637095367
PIM2	field0	8	0.3348925848925849	0.07273009014921564	2.2030741629680883
PIM2	field0	9	0.20060654714120063	0.05437273197636153	1.8834134677917602
PIM2	field0	10	0.4223827788184224	0.10027348273398262	2.0746108785505935
PIM2	field0	11	0.31359630658696075	0.07895917153669048	1.9897298102653516
PIM2	field0	12	0.18196053196053197	0.051360181470384104	1.824903352417798
PIM2	field0	13	0.21680464248031814	0.06180763059540167	1.810538784443972
PIM2	field0	14	0.264797507788162	0.12102687455771104	1.1295621039558459
PIM2	field0	15	0.4333986764542319	0.07698384484733578	2.493067116238474
PIM2	field0	16	0.23766113051827342	0.12721306083755934	0.9016591714945706
PIM2	field0	17	0.2770201394054605	0.046008538339361485	2.590017335411211
PIM2	field0	18	0.25089795678030974	0.04760460885385082	2.3979275616813016
PIM2	field0	19	0.3054983554983555	0.07648841264198533	1.9978515008409072
PIM2	field0	20	0.31209275313048895	0.05404825305689891	2.529654964758822
PIM2	field0	21	0.27812476341888104	0.09472527012938131	1.5539109497618386
PIM2	field0	22	0.422798711119879	0.0852792431386083	2.3097044395348063
PIM2	field0	23	0.2507575142710278	0.04900029784494768	2.3554305100054167
PIM2	field0	24	0.24082906435847612	0.05158821438280253	2.2228960970512697
PIM2	field0	25	0.27340712805829087	0.10746892197631705	1.3471313368432978
PIM2	field0	26	0.2821900848216638	0.07322830717034319	1.9461939471958483
PIM2	field0	27	0.3831547064305685	0.17756843227870603	1.1095519016011615
PIM2	field0	28	0.41455091455091453	0.15818063320729514	1.3899763276060932
PIM2	field0	29	0.26861100230665447	0.05879276856417152	2.1918077773349314
PIM2	field0	30	0.26673200978756534	0.06517689036352385	2.0329585424013374
